observation_stable_id	pubmed_id
OB_002059	16103914
OB_000205	18340043
OB_002060	16103914
OB_002061	16103914
OB_002062	16103914
OB_002063	16103914
OB_002064	16103914
OB_002065	16103914
OB_002066	18059160
OB_002067	16103914
OB_002068	16103914
OB_002069	16103914
OB_000206	18340043
OB_002070	16103914
OB_002071	16103914
OB_002072	16103914
OB_002073	16103914
OB_002074	16103914
OB_002075	16103914
OB_002076	16103914
OB_002077	17912023
OB_002078	16103914
OB_002079	16103914
OB_000207	18340043
OB_002080	16103914
OB_002081	16103914
OB_002082	16103914
OB_002083	16103914
OB_002084	16103914
OB_002085	16103914
OB_002086	16103914
OB_002087	16103914
OB_002088	17912023
OB_002089	16103914
OB_000208	18340043
OB_002090	16103914
OB_002091	16103914
OB_002092	16103914
OB_002093	16103914
OB_002094	16103914
OB_002095	16103914
OB_002096	16103914
OB_002097	16103914
OB_002098	16103914
OB_002099	16324156
OB_000209	18340043
OB_000020	19372390
OB_002100	16103914
OB_002101	16103914
OB_002102	16103914
OB_002103	16103914
OB_002104	16103914
OB_002105	16103914
OB_002106	16103914
OB_002107	16103914
OB_002108	16103914
OB_002109	16103914
OB_000210	18340043
OB_002110	14668850
OB_002111	10921902
OB_002112	16103914
OB_002113	16103914
OB_002114	16103914
OB_002115	16103914
OB_002116	16103914
OB_002117	16103914
OB_002118	16103914
OB_002119	16103914
OB_000211	18340043
OB_002120	16103914
OB_002121	16103914
OB_002122	12447374
OB_002123	16103914
OB_002124	16103914
OB_002125	16103914
OB_002126	16103914
OB_002127	16103914
OB_002128	16103914
OB_002129	16103914
OB_000212	18340043
OB_002130	16103914
OB_002131	16103914
OB_002132	16103914
OB_002133	18006689
OB_002134	16103914
OB_002135	16103914
OB_002136	16103914
OB_002137	16103914
OB_002138	16103914
OB_002139	16103914
OB_000213	18340043
OB_002140	16103914
OB_002141	16103914
OB_002142	16103914
OB_002143	16103914
OB_002144	18006689
OB_002145	16103914
OB_002146	16103914
OB_002147	16103914
OB_002148	16103914
OB_002149	16103914
OB_000214	11292860
OB_002150	16103914
OB_002151	16103914
OB_002152	16103914
OB_002153	16103914
OB_002154	16103914
OB_002155	18006689
OB_002156	16103914
OB_002157	16103914
OB_002158	16103914
OB_002159	16103914
OB_000215	18340043
OB_002160	16103914
OB_002161	16103914
OB_002162	16103914
OB_002163	16103914
OB_002164	16103914
OB_002165	16103914
OB_002166	17608836
OB_002167	16103914
OB_002168	16103914
OB_002169	16103914
OB_000216	18340043
OB_002170	16103914
OB_002171	16103914
OB_002172	16103914
OB_002173	16103914
OB_002174	16103914
OB_002175	16103914
OB_002176	16103914
OB_002177	18006689
OB_002178	16103914
OB_002179	16103914
OB_000217	18340043
OB_002180	16103914
OB_002181	16103914
OB_002182	16103914
OB_002183	16103914
OB_002184	16103914
OB_002185	16103914
OB_002186	16103914
OB_002187	16103914
OB_002188	15905404
OB_002189	16103914
OB_000218	18340043
OB_002190	16103914
OB_002191	16103914
OB_002192	16103914
OB_002193	16103914
OB_002194	16103914
OB_002195	16103914
OB_002196	16103914
OB_002197	16103914
OB_002198	16103914
OB_002199	17360389
OB_000219	18340043
OB_000021	19372390
OB_002200	16103914
OB_002201	16103914
OB_002202	16103914
OB_002203	16103914
OB_002204	16103914
OB_002205	16103914
OB_002206	16103914
OB_002207	16103914
OB_002208	16103914
OB_002209	16103914
OB_000220	18340043
OB_002210	12598614
OB_002211	16103914
OB_002212	16103914
OB_002213	16103914
OB_002214	16103914
OB_002215	16103914
OB_002216	16103914
OB_002217	16103914
OB_002218	16103914
OB_002219	16103914
OB_000221	18340043
OB_002220	16103914
OB_002221	8195187
OB_002222	10921902
OB_002223	16103914
OB_002224	16103914
OB_002225	16103914
OB_002226	16103914
OB_002227	16103914
OB_002228	16103914
OB_002229	16103914
OB_000222	18340043
OB_002230	16103914
OB_002231	16103914
OB_002232	16103914
OB_002233	18006689
OB_002234	16103914
OB_002235	16103914
OB_002236	16103914
OB_002237	16103914
OB_002238	16103914
OB_002239	16103914
OB_000223	18423200
OB_002240	16103914
OB_002241	16103914
OB_002242	16103914
OB_002243	16103914
OB_002244	18006689
OB_002245	16103914
OB_002246	16103914
OB_002247	16103914
OB_002248	16103914
OB_002249	16103914
OB_000224	18423200
